"Index","Tokens"
"1","[bed, play, makeup, flare, project, program, handy, good, café, helper, find, loop, leave, function, write, solver, order, group, method, lay, handle, morning, accept, guess, easiest, hint, letter, true, word, compare, code, string, student, substring, yesterday, lot, head, foreach, common, place, possibility, key, wordle, include, mind, rest, reminder, assignment, strike, false, great, nice, face, thing, prompt, return, fun, base, assign]"
"2","[play, career, bad, depend, program, slower, division, number, problem, optimization, honest, easily, understanding, stick, write, dependent, case, addition, closely, goal, issue, programmer, lose, exceptional, require, sense, version, analyze, difference, consideration, understandable, word, compare, role, fact, consume, turn, long, remember, lot, computer, place, multiplication, power, chatgpt, modulus, hand, question, bandwidth, bigger, people, joke, wrong, fraction, narcissistic, machine, instruction, thing, fun, small, project, language, enhancement, good, spec, famously, high, faster, habit, solution, optimize, raise, day, manually, timing, adapt, pay, collection, modification, circumstance, solve, evil, datum, ease, code, memory, critical, purpose, speed, scalability, conclusion, tend, hour, root, spend, win, notice, highly, execution, pretty, process, subjective, interesting, argue, minute, premature, performance, developer, time]"
"3","[nicely, half, depend, program, convert, explanation, division, number, problem, calculate, cube, write, plan, algorithm, python, large, work, understand, str, geek, num_str, circle, favorite, console.writeline, access, questioning, skin, range, exercise, sum, dead, turn, educator, lot, search, power, worried, chatgpt, modulus, surprised, iterate, giveaway, include, side, address, question, break, bigger, store, familiar, sample, cheat, narcissistic, answer, rage, oral, initialize, thing, undergraduate, couple, num, project, language, simple, integer, dozen, operator, identical, late, find, raise, day, programming, digit, add, individual, sort, feed, solve, note, game, deep, code, string, student, sum_of_cubes, tend, teacher, common, cat, highly, temp, original, assignment, start, specific, int, equal, print, form, syntax, online, comment, time, prompt, assign]"
"4","[leader, reason, decade, luck, movie, bad, year, replace, bring, program, attempt, advance, formulaic, odds, beat, create, talk, write, potential, terrible, worry, profession, area, read, remain, work, narrative, programmer, touch, analysis, imagination, tough, article, establish, museum, prediction, safe, topic, force, defy, completely, job, datum, critical, student, idea, book, training, teaching, pure, long, lot, optimistic, generative, computer, teacher, flaw, today, spend, define, predict, share, hard, relationship, human, possibility, poetry, art, advantage, interesting, teach, speculate, technology, people, joke, lead, closer, future, challenge, short, developer, risk, visit, describe, user, thing, story]"
"5","[shampoo, bad, breaker, year, buy, ago, minded, good, translate, cover, leave, loop, context, finish, proof, write, programming, fully, case, work, understand, fill, intelligence, condition, awhile, installer, task, field, light, install, piece, reset, larger, circuit, code, infinite, advice, turn, lather, literal, switch, lot, aware, hair, computer, repeat, skill, unfair, term, hear, hand, figure, famous, set, initial, wet, teach, people, logical, artificial, instruction, step, time, describe, hopper, complete, thing]"
"6","[image, item, education, activity, resource, interesting, teach, description, history, collection, check, great, picture, lot, computer, web, ricomputermuseum.org, spend, today, huge, time, text, gallery, stuff]"
"7","[thonny, big, electronics, connectable, software, bad, reader, feel, project, language, autonomous, blog, laptop, slower, iot, fortunately, tie, mouse, download, experiment, post, beginner, school, fine, visual, programming, fully, hardware, raspberry, python, development, work, vnc, ide, easy, water, system, install, domain, plant, plug, curricula, device, internet, love, virtual, idea, platform, network, computer, library, desktop, proposition, installation, accumulate, trouble, operating, ability, free, mix, lend, regular, connect, hear, surprised, keyboard, pretty, move, set, btw, learn, cross, control, monitor, involve, people, nice, watering, build, instruction, obvious, initially, step, complete, thing, risky]"
"8","[rotor, gadget, buy, project, decide, led, language, program, bit, hope, supply, engraver, offer, number, incentive, experiment, leave, supplier, magnetic, create, model, block, helpful, microphone, cable, potential, add, curious, adapter, read, upgrade, individual, issue, work, documentation, printer, require, easy, backwards, external, spending, light, speaker, tbd, solve, sensor, device, full, larger, extension, code, cut, student, enjoy, recommend, box, keycap, manufacturer, switch, button, lot, negative, feature, laser, kit, justification, hard, power, factor, class, connect, direction, include, move, original, determine, btw, learn, advantage, purchase, length, start, label, newer, hub, micro, learner, obvious, step, time, thing]"
"9","[drop, code, year, friendly, kid, icon, video, bit, hope, cute, lot, modularity, school, web, intro, drag, graphic, write, beta, programming, hardware, editor, pretty, middle, grandson, cool, change, documentation, aka.ms, simularity, piece, micro, prossibility, below.people, support, device, open]"
"10","[play, leader, smaller, lunch, year, bring, program, bit, robot, offer, number, character, bar, problem, closing, graduation, action, kibo, block, state, exhibit, plan, case, energy, python, grow, programmer, lesson, require, classroom, execute, certification, winner, slide, notch, love, chapter, explicitly, 12th, conference, woman, scan, teaching, prize, long, summer, remember, lot, web, national, share, ability, event, panel, free, regular, connect, include, receive, honestly, mini, learn, founder, change, cool, plenary, involve, great, people, 9th, applicant, computation, meet, report, progress, open, story, stuff, door, strength, impressed, deck, recognition, project, incorporate, good, presentation, high, school, portfolio, find, limit, create, talk, credit, day, programming, keynote, tech, grokk, level, resource, count, history, girl, cybersecurity, camp, license, person, solve, speaker, cane, send, option, minecraft, venue, note, virtual, code, week, regional, session, kid, concept, link, stipend, effort, learning, video, demo, life, teacher, award, hour, extra, today, kit, trouble, physical, department, hear, player, npc, pretty, figure, grandson, apply, teach, interesting, clear, war, follow, message, opening, special, truth, money, micro, initially, growth, interested, stem]"
